column_name,requirement,description
bs-serovar,Optional,"Taxonomy below subspecies; a variety (in bacteria, fungi or virus) usually based on its antigenic properties. Same as serovar and serotype. Sometimes used as species identifier in bacteria with shaky taxonomy, e.g. Leptospira, serovar saopaolo S76607 (65357 in Entrez)."
bs-specimen_voucher,Optional,"Identifier for the physical specimen. Use format: ""[<institution-code>:[<collection-code>:]]<specimen_id>"", eg, ""UAM:Mamm:52179"". Intended as a reference to the physical specimen that remains after it was analyzed. If the specimen was destroyed in the process of analysis, electronic images (e-vouchers) are an adequate substitute for a physical voucher specimen. Ideally the specimens will be deposited in a curated museum, herbarium, or frozen tissue collection, but often they will remain in a personal or laboratory collection for some time before they are deposited in a curated collection. There are three forms of specimen_voucher qualifiers. If the text of the qualifier includes one or more colons it is a 'structured voucher'. Structured vouchers include institution-codes (and optional collection-codes) taken from a controlled vocabulary maintained by the INSDC that denotes the museum or herbarium collection where the specimen resides, please visit: http://www.insdc.org/controlled-vocabulary-specimenvoucher-qualifier."
bs-subgroup,Optional,Taxonomy below subspecies; sometimes used in viruses to denote subgroups taken from a single isolate.
bs-subtype,Optional,"Used as classifier in viruses (e.g. HIV type 1, Group M, Subtype A)."
bs-title,Optional,"Optional internal field for how the BioSample submission should be named when viewed from the NCBI submission portal. If not provided, when performing submissions <--submission_name> with the suffix ""-BS"" will be used instead."
bs-comment,Optional,Optional internal field explaining the purpose of the submission for when interacting and resolving submission issues with NCBI.
sra-sample_name,Required,Identifier name used for SRA. Max length is 50 characters. Name must be unique from BioSample/Genbank submission.
sra-file_location,Required,"Location of raw reads files. Options: ""local"" or ""cloud""."
sra-file_1,Required,"All file names must be unique and not contain any sensitive information. Files can be compressed using gzip or bzip2, and may be submitted in a tar archive but archiving and/or compressing your files is not required. Do not use zip! If files are stored in the cloud, provide the full cloud url. If files are stored locally, if files are stored in the folder ""<--submission_dir>/raw_reads/"", then just the file name is required; otherwise, provide the full file path for the raw read."
sra-file_#,Optional,"Repeatable column, replace the ""#"" with the file number for each file associated with the sample. (i.e. If you had 4 separate raw reads files associated with one sample, then you would have 4 columns named: ""sra-file_1"", ""sra-file_2"", ""sra-file_3"", and ""sra-file_4"".) All file names must be unique and not contain any sensitive information. Files can be compressed using gzip or bzip2, and may be submitted in a tar archive but archiving and/or compressing your files is not required. Do not use zip! If files are stored in the cloud, provide the full cloud url. If files are stored locally, if files are stored in the folder ""<--submission_dir>/raw_reads/"", then just the file name is required; otherwise, provide the full file path for the raw read."
sra-library_name,Optional,Short unique identifier for sequencing library.
sra-loader,Optional,"SRA loader selection. If NCBI says your SRA files need to be uploaded with a certain loader, you can select it here."
sra-library_strategy,Required,The sequencing technique intended for the library.
sra-library_source,Required,The type of source material that is being sequenced.
sra-library_selection,Required,The method used to select and/or enrich the material being sequenced.
sra-library_layout,Required,"Whether to expect SINGLE or PAIRED end reads. Options: ""single"" or ""paired""."
sra-platform,Optional,Instrument platform.
sra-instrument_model,Required,Instrument model used for sequencing.
sra-design_description,Optional,Brief description of materials/methods used for creating sequencing library.
sra-title,Optional,"Optional internal field for how the SRA submission should be named when viewed from the NCBI submission portal. If not provided, when performing submissions <--submission_name> with the suffix ""-SRA"" will be used instead."
sra-comment,Optional,Optional internal field explaining the purpose of the submission for when interacting and resolving submission issues with NCBI.
